filename,emotion,technique,caption,timestamp,success
4489731.jpg,joy,zero-shot,Happy vibes and delicious bites shared together!,2026-02-27 21:05:51,True
4489731.jpg,joy,few-shot,What a fantastic gathering filled with laughter and good times!,2026-02-27 21:05:56,True
4489731.jpg,joy,chain-of-thought,Joyful gathering with yummy treats!,2026-02-27 21:06:02,True
4489731.jpg,joy,persona,This is the kind of shared joy that makes every bite sweeter and every laugh louder!,2026-02-27 21:06:13,True
4489731.jpg,sad,zero-shot,This fleeting comfort will soon be just a memory.,2026-02-27 21:06:21,True
4489731.jpg,sad,few-shot,The laughter around me only deepens the quiet sorrow within.,2026-02-27 21:06:26,True
4489731.jpg,sad,chain-of-thought,"A happiness remembered, now a quiet ache.",2026-02-27 21:06:34,True
4489731.jpg,sad,persona,"We gathered like this so many times, never knowing how many of us would drift away.",2026-02-27 21:06:43,True
4489731.jpg,surprised,zero-shot,"Whoa, what an amazing spread!",2026-02-27 21:06:49,True
4489731.jpg,surprised,few-shot,"Wow, this spread is truly unexpected!",2026-02-27 21:06:57,True
4489731.jpg,surprised,chain-of-thought,"Seriously, this is all for us?!",2026-02-27 21:07:06,True
4489731.jpg,surprised,persona,"Hold up, you mean *all this* is for us?!",2026-02-27 21:07:14,True
3787801.jpg,joy,zero-shot,Joyful engagement makes the workday shine!,2026-02-27 21:07:23,True
3787801.jpg,joy,few-shot,Feeling so energized and happy with the day's accomplishments!,2026-02-27 21:07:28,True
3787801.jpg,joy,chain-of-thought,Joyful focus in a bright workspace!,2026-02-27 21:07:37,True
3787801.jpg,joy,persona,That priceless feeling when a simple workday surprise puts an instant smile on your face!,2026-02-27 21:07:44,True
3787801.jpg,sad,zero-shot,He wondered if this was all there was.,2026-02-27 21:07:49,True
3787801.jpg,sad,few-shot,"Lost in thought amidst the endless paperwork, a silent ache persists.",2026-02-27 21:07:55,True
3787801.jpg,sad,chain-of-thought,"Another day dims, the silent hum of dreams quietly forgotten.",2026-02-27 21:08:04,True
3787801.jpg,sad,persona,We traded the stars in our eyes for fluorescent lights and endless to-do lists.,2026-02-27 21:08:15,True
3787801.jpg,surprised,zero-shot,Mind blown by this unexpected discovery!,2026-02-27 21:08:24,True
3787801.jpg,surprised,few-shot,"Whoa, that result completely caught me off guard!",2026-02-27 21:08:33,True
3787801.jpg,surprised,chain-of-thought,"Astonishing, a classic CRT in action!",2026-02-27 21:08:44,True
3787801.jpg,surprised,persona,That moment when the office printer actually works on the first try.,2026-02-27 21:08:54,True
4378823.jpg,joy,zero-shot,My little princess brings joy to every moment!,2026-02-27 21:09:03,True
4378823.jpg,joy,few-shot,Absolutely loving every single moment of this special day!,2026-02-27 21:09:10,True
4378823.jpg,joy,chain-of-thought,Pure joy in a pink dress!,2026-02-27 21:09:16,True
