filename,mood_1,mood_2,mood_3
1000092795.jpg,joy,sad,surprised
10002456.jpg,joy,sad,surprised
1000268201.jpg,joy,sad,surprised
1000344755.jpg,joy,sad,surprised
1000366164.jpg,joy,sad,surprised
1000523639.jpg,joy,sad,surprised
1000919630.jpg,joy,sad,surprised
10010052.jpg,joy,sad,surprised
1001465944.jpg,joy,sad,surprised
1001545525.jpg,joy,sad,surprised
1001573224.jpg,joy,sad,surprised
1001633352.jpg,joy,sad,surprised
1001773457.jpg,joy,sad,surprised
1001896054.jpg,joy,sad,surprised
100197432.jpg,joy,sad,surprised
100207720.jpg,joy,sad,surprised
1002674143.jpg,joy,sad,surprised
1003163366.jpg,joy,sad,surprised
1003420127.jpg,joy,sad,surprised
1003428081.jpg,joy,sad,surprised
100444898.jpg,joy,sad,surprised
1005216151.jpg,joy,sad,surprised
100577935.jpg,joy,sad,surprised
1006452823.jpg,joy,sad,surprised
100652400.jpg,joy,sad,surprised
1007129816.jpg,joy,sad,surprised
100716317.jpg,joy,sad,surprised
1007205537.jpg,joy,sad,surprised
1007320043.jpg,joy,sad,surprised
100759042.jpg,joy,sad,surprised
10082347.jpg,joy,sad,surprised
10082348.jpg,joy,sad,surprised
100845130.jpg,joy,sad,surprised
10090841.jpg,joy,sad,surprised
1009434119.jpg,joy,sad,surprised
1009692167.jpg,joy,sad,surprised
101001624.jpg,joy,sad,surprised
1010031975.jpg,joy,sad,surprised
1010087179.jpg,joy,sad,surprised
1010087623.jpg,joy,sad,surprised
10101477.jpg,joy,sad,surprised
1010470346.jpg,joy,sad,surprised
1010673430.jpg,joy,sad,surprised
101093029.jpg,joy,sad,surprised
101093045.jpg,joy,sad,surprised
1011572216.jpg,joy,sad,surprised
1012150929.jpg,joy,sad,surprised
1012212859.jpg,joy,sad,surprised
1012328893.jpg,joy,sad,surprised
101262930.jpg,joy,sad,surprised
1013536888.jpg,joy,sad,surprised
101362133.jpg,joy,sad,surprised
101362650.jpg,joy,sad,surprised
1014609273.jpg,joy,sad,surprised
101471792.jpg,joy,sad,surprised
1014785440.jpg,joy,sad,surprised
1015118661.jpg,joy,sad,surprised
1015584366.jpg,joy,sad,surprised
101559400.jpg,joy,sad,surprised
1015712668.jpg,joy,sad,surprised
10160966.jpg,joy,sad,surprised
101654506.jpg,joy,sad,surprised
1016626169.jpg,joy,sad,surprised
101669240.jpg,joy,sad,surprised
1016887272.jpg,joy,sad,surprised
1017675163.jpg,joy,sad,surprised
1018057225.jpg,joy,sad,surprised
1018148011.jpg,joy,sad,surprised
101859883.jpg,joy,sad,surprised
